,zipcode,STATE,STATEFIPS,N1,A00100,A02650,N02650,avg_gross_income,avg_total_income
2571,11743,NY,36,22470,3924238.0,3995165.0,22470,174643.43569203382,177799.95549621715
2572,11746,NY,36,34150,3593339.0,3653923.0,34150,105222.22547584187,106996.28111273792
2573,11747,NY,36,11220,2117308.0,2155435.0,11220,188708.3778966132,192106.50623885918
2574,11749,NY,36,1870,117113.0,118595.0,1870,62627.27272727273,63419.786096256685
2575,11751,NY,36,7950,713845.0,721220.0,7950,89791.82389937107,90719.4968553459
2576,11752,NY,36,5390,390095.0,393085.0,5390,72373.84044526902,72928.57142857143
2577,11753,NY,36,6550,1518995.0,1547379.0,6550,231907.63358778626,236241.06870229007
2578,11754,NY,36,9740,918739.0,929331.0,9740,94326.38603696099,95413.86036960984
2579,11755,NY,36,6360,563715.0,569522.0,6360,88634.43396226416,89547.48427672956
2580,11756,NY,36,23070,1729655.0,1743117.0,23070,74974.20892934546,75557.73732119636
2581,11757,NY,36,23760,1536778.0,1550648.0,23760,64679.20875420876,65262.962962962956
2582,11758,NY,36,29480,3117215.0,3152049.0,29480,105739.9932157395,106921.6078697422
2583,11762,NY,36,11920,1258160.0,1271007.0,11920,105550.3355704698,106628.10402684563
2584,11763,NY,36,14800,969804.0,978323.0,14800,65527.29729729729,66102.90540540541
2585,11764,NY,36,6510,701437.0,710934.0,6510,107747.61904761905,109206.45161290323
2586,11765,NY,36,330,256284.0,258511.0,330,776618.1818181819,783366.6666666666
2587,11766,NY,36,6170,726693.0,736440.0,6170,117778.44408427877,119358.1847649919
2588,11767,NY,36,7300,746558.0,755749.0,7300,102268.21917808219,103527.2602739726
2589,11768,NY,36,11130,1795711.0,1827743.0,11130,161339.7124887691,164217.69991015273
2590,11769,NY,36,5120,471200.0,476101.0,5120,92031.25,92988.4765625
2591,11771,NY,36,5210,2237811.0,2262324.0,5210,429522.2648752399,434227.255278311
2592,11772,NY,36,22980,1520301.0,1533801.0,22980,66157.57180156658,66745.03916449087
2593,11776,NY,36,12420,877501.0,885912.0,12420,70652.25442834137,71329.46859903382
2594,11777,NY,36,4810,888997.0,899681.0,4810,184822.6611226611,187043.86694386692
2595,11778,NY,36,6270,469627.0,473813.0,6270,74900.6379585327,75568.2615629984
2596,11779,NY,36,19510,1413265.0,1424256.0,19510,72437.98052280881,73001.33264992312
2597,11780,NY,36,8020,1861318.0,1880695.0,8020,232084.5386533666,234500.62344139648
2598,11782,NY,36,8140,830961.0,839566.0,8140,102083.66093366094,103140.78624078624
2599,11783,NY,36,11480,1109489.0,1121118.0,11480,96645.38327526132,97658.36236933798
2600,11784,NY,36,12540,782094.0,787802.0,12540,62367.94258373206,62823.1259968102
2601,11786,NY,36,3200,342416.0,346761.0,3200,107005.0,108362.8125
2602,11787,NY,36,17690,2079998.0,2105532.0,17690,117580.44092707745,119023.85528547202
2603,11788,NY,36,8830,950067.0,961336.0,8830,107595.35673839184,108871.57417893545
2604,11789,NY,36,3760,268760.0,271418.0,3760,71478.72340425532,72185.63829787234
2605,11790,NY,36,6900,861117.0,869331.0,6900,124799.56521739131,125990.0
2606,11791,NY,36,12140,2593232.0,2644313.0,12140,213610.54365733115,217818.2042833608
2607,11792,NY,36,4380,444610.0,451333.0,4380,101509.13242009132,103044.06392694064
2608,11793,NY,36,17010,1732775.0,1750498.0,17010,101868.01881246326,102909.93533215756
2609,11795,NY,36,13240,1334342.0,1352046.0,13240,100781.11782477342,102118.27794561934
2610,11796,NY,36,1950,167363.0,168663.0,1950,85827.1794871795,86493.84615384616
2611,11797,NY,36,4580,1314014.0,1343504.0,4580,286902.6200873362,293341.4847161572
2612,11798,NY,36,8810,395151.0,397588.0,8810,44852.55391600454,45129.17139614075
2613,11801,NY,36,22370,1536020.0,1551511.0,22370,68664.2825212338,69356.77246312026
2614,11803,NY,36,14440,2095672.0,2130695.0,14440,145129.63988919667,147555.05540166207
2615,11804,NY,36,2510,338023.0,343661.0,2510,134670.51792828683,136916.7330677291
2616,11901,NY,36,13150,716039.0,723984.0,13150,54451.634980988594,55055.8174904943
2617,11933,NY,36,3600,268922.0,272309.0,3600,74700.55555555555,75641.38888888889
2618,11934,NY,36,4060,367787.0,372646.0,4060,90587.93103448277,91784.7290640394
2619,11935,NY,36,1890,212188.0,216609.0,1890,112268.78306878307,114607.93650793651
2620,11937,NY,36,8950,1099232.0,1125357.0,8950,122819.21787709497,125738.2122905028
